"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names","label","_id","cancel_delays"
"3","similar","📃 *Consulta sobre una compra:*\n\n📦 En caso de que tengas consultas mayoristas, consultas sobre envíos,  o consultas minoristas respondé con las siguientes letras:\n*B*. Consultas mayoristas\n*C*. Consulta sobre el envío de mi compra\n*D*. Consulta minorista\n\n📌 Si tu consulta es otra, respondé a este mensaje con tu nombre y tu motivo de consulta y te atenderemos dentro de los siguientes horarios: Lunes a Viernes de 10:00 a 17:30hs.\n\n🫂 Que tengas un buen día!","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","13","",,,,,,,,,,,"76","0"
"1","similar","🛒 *Precios y Compra Mayorista:*\n\n📌 A continuación te dejo la lista de precios e instrucciones para que puedas realizar la compra mayorista y aprovechar nuestros descuentos!\n\n📦 *Lista de precios:*\nhttps://drive.google.com/file/d/1MZZ606WgUropOvGaHJMABSH22qZSR86p/view?usp=sharing\n\n💸 *Beneficios Mayoristas Uniproovedores:*\n•Hasta 20% OFF sobre la lista\n•Descuento extra de un 7% comprando por bulto cerrado\n•Facturación adaptada a tu compra<#>🛒 A continuación te dejo los pasos a seguir para realizar una compra mayorista!\n\n🤝 Envianos tu pedido con este formato para poder realizarlo:\n•Producto/s\n•Cantidad del o los productos\n•¿Unidad o bulto cerrado?\n•Provincia o ciudad\n•Tipo de Factura\n\n📌 Con esa información te derivamos a un asesor para que puedas realizar la compra!\n\n🫂 Recordá que por Whatsapp atendemos de Lunes a Viernes de 9:00 a 17:30hs.\n\n👋 Que tengas un buen día!","all","1","1","b","","","3","3","0","","","","","","","","seconds","2","0","25","",,,,,,,,,,,"77","0"
"2","similar","🤝 Perfecto! Comentanos el motivo de la consulta y te derivo con un asesor.\n\n⌚ Recordá que por Whatsapp atendemos de Lunes a Viernes de 10:00 a 17:30hs.\n\n🫂 Que tengas un buen día!","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","25","",,,,,,,,,,,"78","0"
"*nombre*marca*ciudad*provincia*","normal","📄 Perfecto! Completaste los datos correctamente.\n\n📌 Te dejo los precios y beneficios mayoristas de Uniproovedores!<#>🛒 *Precios y Compra Mayorista:*\n\n📌 A continuación te dejo la lista de precios e instrucciones para que puedas realizar la compra mayorista y aprovechar nuestros descuentos!\n\n📦 *Lista de precios:*\nhttps://drive.google.com/file/d/1MZZ606WgUropOvGaHJMABSH22qZSR86p/view?usp=sharing\n\n💸 *Beneficios Mayoristas Uniproovedores:*\n•Hasta 20% OFF sobre la lista\n•Descuento extra de un 7% comprando por bulto cerrado\n•Facturación adaptada a tu compra<#>📦 En caso de que hayas decidido que productos te gustaría comprar, responde con ""*Listo*"" y te enviaremos los pasos a seguir para comprar al por mayor!\n\n🫂 En caso de que prefieras hablar con un asesor responde con ""*Humano*"" y te derivaremos con un humano.\n\n⌚ Recorda que por Whatsapp atendemos de Lunes a Viernes de 9:00 a 17:30hs","all","1","1","b","","","3","3","0","","","","","","","","seconds","2","0","16","",,,,,,,,,,,"79","0"
"*listo*","normal","🛒 Perfecto! A continuación te dejo los pasos a seguir para realizar una compra mayorista!\n\n🤝 Envianos tu pedido con este formato para poder realizarlo:\n•Producto/s\n•Cantidad del o los productos\n•¿Unidad o bulto cerrado?\n•Provincia o ciudad\n•Tipo de Factura\n\n📌 Con esa información te derivamos a un asesor para que puedas realizar la compra!\n\n🫂 Recordá que por Whatsapp atendemos de Lunes a Viernes de 9:00 a 17:30hs.\n\n👋 Que tengas un buen día!","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","34","",,,,,,,,,,,"80","0"
"*humano*","none","🫂 Perfecto! Comentanos tu motivo de consulta y te derivaremos con un asesor.\n\n⌚ Recordá que por Whatsapp atendemos de Lunes a Viernes de 9:00 a 17:30Hs\n\n👋 Que tengas un buen día!","single","","","c","","","3","3","0","","","","","","","","seconds","2","0","34","",,,,,,,,,,,"81","0"
"*1*","normal","📦 *No me llegó el producto:*\n\n🙏 Entendemos la situación, y para poder ayudarte necesitamos estos datos:\n\n1. Usuario de Mercado Libre\n2. Número de Compra\n3. ¿En Mercado Libre figura como ""Entregado""? (Si / No)\n\n📌 Con esta información revisamos lo sucedido y te atenderá un asesor de Lunes a Viernes de 9:00 a 17:30hs para resolverlo, lamentamos los inconvenientes 🙏","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","17","",,,,,,,,,,,"82","0"
"*2*","normal","💢 *El producto llegó dañado:*\n\n🙏 Entendemos lo sucedido, esto lamentablemente es un problema que suele ocurrir y es responsabilidad de Mercado Libre, ya que a los productos no les ponen un embalaje que los proteja y no los cuidan para nada durante los envíos.\n\n📌 Para poder resolver la situación lo más optimo es reclamarle a Mercado Libre por mal embalaje y daños durante el envío.","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","17","",,,,,,,,,,,"83","0"
"*3*","normal","❌ *El producto funciona mal:*\n\n🙏 Lamentamos que el producto no funcione como se esperaba, para poder ayudarte necesitamos que envíes los siguientes datos:\n\n1. Usuario de Mercado Libre\n2. ¿Qué problema presenta el envío?\n3. Captura de pantalla del producto comprado\n4. Foto o Vídeo del producto que muestre el funcionamiento defectuoso\n5. ¿Seguís teniendo el producto a tu disposición?\n\n📌 Con esta información vamos a poder ayudarte y un asesor va a revisar la situación para poder solucionarla y te va a poder atender de Lunes a Viernes de 9:00 a 17:30hs.\n\n🙏 Lamentamos los inconvenientes","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","17","",,,,,,,,,,,"84","0"
"*4*","normal","🔄 *Me llegó un producto distinto al comprado:*\n\n🙏 Lamentamos que te haya llegado un producto o modelo erróneo, para poder ayudarte necesitamos que envíes los siguientes datos:\n\n1. Usuario de Mercado Libre\n2. Captura de pantalla del producto comprado\n3. Foto o Vídeo que muestre el producto que llegó\n4. Foto de la etiqueta de envío \n\n📌 Con esta información vamos a poder ayudarte y un asesor va a revisar la situación para poder solucionarla y te va a poder atender de Lunes a Viernes de 10:00 a 17:30hs.\n\n🙏 Lamentamos los inconvenientes","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","17","",,,,,,,,,,,"85","0"
"*5*","normal","❗*Me faltaron productos o accesorios en el envío:*\n\n🙏 Lamentamos que hayan faltado productos o accesorios en el envío para poder ayudarte necesitamos que envíes los siguientes datos:\n\n1. Usuario de Mercado Libre\n2. Captura de pantalla del combo o kit comprado\n3. Foto o Vídeo que muestre el o los productos que llegaron\n4. Foto de la etiqueta de envío\n\n📌 Con esta información vamos a poder ayudarte y un asesor va a revisar la situación para poder solucionarla y te va a poder atender de Lunes a Viernes de 9:00 a 17:30hs.\n\n🙏 Lamentamos los inconvenientes","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","17","",,,,,,,,,,,"86","0"
"*6*","normal","🔙 *Me equivoqué de producto/modelo o me arrepentí de la compra:*\n\n📦 Entendemos que esto puede suceder, por lo que a continuación te dejamos la solución:\n\n•Ingresás a Mercado Libre, vas a la compra y al ""Detalle de la compra""\n•Luego aparece la opción ""Devolver o cambiar gratis"", y ahí elegís ""Es lo que pedí pero no me sirve.\n•También podés elegir ""Ayuda"", luego ""Quiero cambiar o devolver el producto"" y elegís ""Devolver, es lo que pedí pero no me sirve"" o ""Me arrepentí de comprarlo"".\n\n📌 Si seguís estos pasos vas a poder devolver correctamente el producto mediante Mercado Libre, y luego ellos te explicarán los pasos a continuar\n\n🫂 Que tengas un buen día!","single","","","c","","","3","3","0","","","","","","","","seconds","2","0","17","",,,,,,,,,,,"87","0"
"*7*","normal","📃 *No me llegó la factura correspondiente:*\n\n⌚ Entendemos que pueda demorar la emisión de la factura, esto se puede deber a que suelen haber fallos en la plataforma de ARCA, para poder recibir tu factura escribinos por Mercado Libre mediante el chat de la compra correspondiente, solicitando la factura\n\n📝 En caso de que quieras cambiar o modificar aspectos de la factura, también escribinos por Mercado Libre, enviando los datos correspondientes para realizar el cambio de factura\n\n🫂 Que tengas un buen día!","single","","","b","","","3","3","0","","","","","","","","seconds","2","0","17","",,,,,,,,,,,"88","0"
